Date,Forecast,Lower Confidence Bound (85%),Upper Confidence Bound (85%)
2023-01-01,373.29452797426876,52.294527136045744,652.3910202511396
2023-01-02,569.5556879719026,258.91981607493403,878.5510854844678
2023-01-03,572.2546132523502,267.25878383965716,877.0581992048699
2023-01-04,555.1534759133696,252.53802521428798,856.7663548004199
2023-01-05,568.8116710895926,255.56889492775443,865.8251887949401
2023-01-06,570.2003522135043,251.70909430965557,856.9878693949489
2023-01-07,394.37062024687015,100.07286495643194,696.511210999251
2023-01-08,380.75162294336496,70.07968594252297,689.8469000800524
2023-01-09,582.0117532520975,273.4341713303827,872.3816362607224
2023-01-10,584.7184698561747,286.10631163816697,890.6854860832287
2023-01-11,567.1200397256408,284.53458758179744,864.3721570640664
2023-01-12,581.0661184993953,283.3723701765701,872.6345150253776
2023-01-13,582.4298926020153,275.9868948275814,894.1746637972929
2023-01-14,402.1045562248947,115.227430883238,717.4276838863436
2023-01-15,397.30050306286404,75.52646854973551,699.1993176085518
2023-01-16,603.5918337849107,303.06172705682684,905.6098846753565
2023-01-17,606.3385718147083,296.510848261306,908.7865528538242
2023-01-18,588.2750789949393,297.24365090901745,910.1473106715146
2023-01-19,602.5412714684223,312.3386734564123,924.1982183245784
2023-01-20,603.9123686520152,287.6673329210421,905.0164469454697
2023-01-21,409.72947620066816,119.97557194862318,728.6086097659446
2023-01-22,395.33876487507,77.14187329629,713.7127736097207
2023-01-23,606.596835805891,310.4867535669129,924.3702104040088
2023-01-24,609.3191350570479,320.9042291731255,906.7518999162642
2023-01-25,590.7261191426348,306.5995039273308,896.0612840103242
2023-01-26,605.2479649018833,308.75644952862564,921.644173812236
2023-01-27,606.5619247574185,301.0564974021624,895.8229184452083
2023-01-28,417.24537961215174,100.78958349296875,711.1460802204197
2023-01-29,402.46881116206237,79.93968250833387,693.1889522100458
2023-01-30,618.7258518374215,292.78268139755306,930.3387934991165
2023-01-31,621.4559422035134,296.7100605482907,930.3061239370326
2023-02-01,609.4406872700907,309.0717512134875,910.8088558759637
2023-02-02,624.2738073454493,326.70826563369565,930.9296214934457
2023-02-03,625.5862509298013,338.0717185395283,925.6430353076795
2023-02-04,431.7974925735229,119.84360255433018,750.1613406340529
2023-02-05,416.6584578987382,120.05813849211937,722.54375756436
2023-02-06,637.9378591301918,321.0713196484845,923.6744126339445
2023-02-07,640.6991315666406,316.8271337183807,928.3505883445781
2023-02-08,621.1349209168774,316.4417158469688,918.393520273812
2023-02-09,636.255924560775,352.78466812894305,951.6207979368402
2023-02-10,637.5434611263538,326.3528079107034,931.4872416585846
2023-02-11,439.2590988115657,140.74828652844147,720.2374037032972
2023-02-12,423.73420716450613,108.3258299567187,734.2243494808903
2023-02-13,650.0125782044208,352.32454967922723,961.218031544032
2023-02-14,652.7816419637788,344.17875590166716,970.7293987041307
2023-02-15,642.9200728225759,344.09755834910663,947.2121040649324
2023-02-16,658.3611901340604,368.7053908508293,968.3973606039887
2023-02-17,659.6560497798763,370.8225961844116,960.2973029655344
2023-02-18,458.622912075565,146.96068359233067,779.8960928756629
2023-02-19,444.3294916831932,136.45330430282024,733.5793552935866
2023-02-20,679.8613571767253,383.17611268032186,975.1501960043188
2023-02-21,674.640573037731,366.140617054051,986.7804959890102
2023-02-22,656.13395999283,360.9620973366615,971.4023274558742
2023-02-23,674.52208266247,364.7524596840151,959.479061089766
2023-02-24,678.1774425415617,387.73351098334695,962.8477684462509
2023-02-25,467.1882549002745,180.98947890960184,775.9500990172114
2023-02-26,451.97552171815016,148.59704232647383,780.691016287544
2023-02-27,698.4285269760027,393.6725616517627,988.3236934047998
2023-02-28,703.7018772028687,394.1745343491408,1010.625536396006
2023-03-01,691.0174191813458,387.8388860415105,994.2159390637466
2023-03-02,710.0826508230341,433.67510306970394,1038.1770700373327
2023-03-03,713.7273385701579,400.5337194882461,1021.1554715510977
2023-03-04,492.89706508915157,163.9358603881481,790.7700929379679
2023-03-05,476.87998321434026,142.85358755771782,786.7205064041889
2023-03-06,734.3690923337784,434.5971031192728,1054.7142060868896
2023-03-07,739.7036693359659,408.33461480271103,1057.029918782988
2023-03-08,719.0542019522875,391.3924080083362,1012.1372023308737
2023-03-09,738.7524477788087,407.2496580732296,1024.4223920248062
2023-03-10,742.3423686065736,427.96863081167544,1047.190447813215
2023-03-11,511.62691449848705,227.04706618332608,839.913084463098
2023-03-12,494.7613891436449,207.1183304805577,799.1377379712286
2023-03-13,763.2425147337348,462.56087778661345,1083.1907970819393
2023-03-14,768.5942311363382,448.27032970558787,1079.7868472400253
2023-03-15,758.9582926925278,431.63554280211093,1049.1971950109423
2023-03-16,779.360429890246,455.80995973658827,1085.2008724916666
2023-03-17,782.9664604853206,478.47546754979567,1095.9335390318083
2023-03-18,542.4366886329434,222.72422557505655,845.6795716124566
2023-03-19,524.7935928533303,233.21255979894792,834.9830477747521
2023-03-20,804.3376149278271,494.27545829048006,1090.3409408696973
2023-03-21,797.2451193640863,482.8666419799178,1097.8013950920579
2023-03-22,774.4087077149377,480.8472376269823,1085.889568213667
2023-03-23,795.372990707203,481.1183822298219,1102.143950471154
2023-03-24,798.8533848675028,489.1900988262687,1105.133843641568
2023-03-25,548.3675467886176,253.95832883861908,848.3688326050709
2023-03-26,529.8051367149772,232.31604072037408,851.3132070431818
2023-03-27,820.2703164224336,477.6813851101182,1116.5686942830373
2023-03-28,825.6562968571516,476.7022516765123,1102.3742894820837
2023-03-29,801.7264088559002,490.30321496169904,1101.732853768846
2023-03-30,823.3237070685489,508.25898289598797,1110.162273442218
